Cotacao Compra;Cotacao Venda;Data e hor
1,8003;1,8011;03/01/2000
1,8329;1,8337;04/01/2000
1,8536;1,8544;05/01/2000
1,8453;1,8461;06/01/2000
1,8273;1,8281;07/01/2000
1,8153;1,8161;10/01/2000
1,8211;1,8219;11/01/2000
1,8306;1,8314;12/01/2000
1,8185;1,8193;13/01/2000
1,7989;1,7997;14/01/2000
1,7949;1,7957;17/01/2000
1,7916;1,7924;18/01/2000
1,7976;1,7984;19/01/2000
1,7793;1,7801;20/01/2000
1,7776;1,7784;21/01/2000
1,7644;1,7652;24/01/2000
1,7733;1,7741;25/01/2000
1,7761;1,7769;26/01/2000
1,7745;1,7753;27/01/2000
1,7867;1,7875;28/01/2000
1,8016;1,8024;31/01/2000
1,7924;1,7932;01/02/2000
1,7892;1,79;02/02/2000
1,7771;1,7779;03/02/2000
1,7777;1,7785;04/02/2000
1,7651;1,7659;07/02/2000
1,7646;1,7654;08/02/2000
1,7624;1,7632;09/02/2000
1,7687;1,7695;10/02/2000
1,7639;1,7647;11/02/2000
1,7691;1,7699;14/02/2000
1,7756;1,7764;15/02/2000
1,7724;1,7732;16/02/2000
1,7732;1,774;17/02/2000
1,7697;1,7705;18/02/2000
1,7776;1,7784;21/02/2000
1,7817;1,7825;22/02/2000
1,7878;1,7886;23/02/2000
1,7771;1,7779;24/02/2000
1,7733;1,7741;25/02/2000
1,778;1,7788;28/02/2000
1,7677;1,7685;29/02/2000
1,767;1,7678;01/03/2000
1,7592;1,76;02/03/2000
1,7503;1,7511;03/03/2000
1,749;1,7498;08/03/2000
1,7335;1,7343;09/03/2000
1,7378;1,7386;10/03/2000
1,7494;1,7502;13/03/2000
1,7364;1,7372;14/03/2000
1,7423;1,7431;15/03/2000
1,7349;1,7357;16/03/2000
1,7399;1,7407;17/03/2000
1,738;1,7388;20/03/2000
1,7373;1,7381;21/03/2000
1,7297;1,7305;22/03/2000
1,7234;1,7242;23/03/2000
1,7226;1,7234;24/03/2000
1,7354;1,7362;27/03/2000
1,7448;1,7456;28/03/2000
1,7371;1,7379;29/03/2000
1,7514;1,7522;30/03/2000
1,7465;1,7473;31/03/2000
1,7399;1,7407;03/04/2000
1,7417;1,7425;04/04/2000
1,7524;1,7532;05/04/2000
1,7415;1,7423;06/04/2000
1,7431;1,7439;07/04/2000
1,7379;1,7387;10/04/2000
1,744;1,7448;11/04/2000
1,7463;1,7471;12/04/2000
1,7625;1,7633;13/04/2000
1,7825;1,7833;14/04/2000
1,7865;1,7873;17/04/2000
1,7688;1,7696;18/04/2000
1,7654;1,7662;19/04/2000
1,7776;1,7784;20/04/2000
1,7908;1,7916;24/04/2000
1,788;1,7888;25/04/2000
1,7977;1,7985;26/04/2000
1,8075;1,8083;27/04/2000
1,8059;1,8067;28/04/2000
1,8;1,8008;02/05/2000
1,8154;1,8162;03/05/2000
1,8136;1,8144;04/05/2000
1,811;1,8118;05/05/2000
1,805;1,8058;08/05/2000
1,8071;1,8079;09/05/2000
1,8161;1,8169;10/05/2000
1,8154;1,8162;11/05/2000
1,8258;1,8266;12/05/2000
1,8374;1,8382;15/05/2000
1,819;1,8198;16/05/2000
1,8284;1,8292;17/05/2000
1,8297;1,8305;18/05/2000
1,8446;1,8454;19/05/2000
1,846;1,8468;22/05/2000
1,8529;1,8537;23/05/2000
1,8529;1,8537;24/05/2000
1,8384;1,8392;25/05/2000
1,8447;1,8455;26/05/2000
1,838;1,8388;29/05/2000
1,8297;1,8305;30/05/2000
1,8258;1,8266;31/05/2000
1,8194;1,8202;01/06/2000
1,8096;1,8104;02/06/2000
1,7925;1,7933;05/06/2000
1,7891;1,7899;06/06/2000
1,8028;1,8036;07/06/2000
1,794;1,7948;08/06/2000
1,7991;1,7999;09/06/2000
1,8032;1,804;12/06/2000
1,8092;1,81;13/06/2000
1,8099;1,8107;14/06/2000
1,8071;1,8079;15/06/2000
1,8065;1,8073;16/06/2000
1,8022;1,803;19/06/2000
1,7983;1,7991;20/06/2000
1,8113;1,8121;21/06/2000
1,8195;1,8203;23/06/2000
1,8274;1,8282;26/06/2000
1,8227;1,8235;27/06/2000
1,8187;1,8195;28/06/2000
1,8164;1,8172;29/06/2000
1,7992;1,8;30/06/2000
1,8072;1,808;03/07/2000
1,8113;1,8121;04/07/2000
1,8039;1,8047;05/07/2000
1,7962;1,797;06/07/2000
1,7964;1,7972;07/07/2000
1,7998;1,8006;10/07/2000
1,7964;1,7972;11/07/2000
1,8026;1,8034;12/07/2000
1,8096;1,8104;13/07/2000
1,8098;1,8106;14/07/2000
1,7971;1,7979;17/07/2000
1,7962;1,797;18/07/2000
1,8036;1,8044;19/07/2000
1,8007;1,8015;20/07/2000
1,7913;1,7921;21/07/2000
1,7948;1,7956;24/07/2000
1,789;1,7898;25/07/2000
1,7917;1,7925;26/07/2000
1,7839;1,7847;27/07/2000
1,782;1,7828;28/07/2000
1,774;1,7748;31/07/2000
1,7872;1,788;01/08/2000
1,7908;1,7916;02/08/2000
1,8071;1,8079;03/08/2000
1,7911;1,7919;04/08/2000
1,7953;1,7961;07/08/2000
1,7984;1,7992;08/08/2000
1,7942;1,795;09/08/2000
1,7954;1,7962;10/08/2000
1,7951;1,7959;11/08/2000
1,8013;1,8021;14/08/2000
1,8048;1,8056;15/08/2000
1,8062;1,807;16/08/2000
1,8088;1,8096;17/08/2000
1,8166;1,8174;18/08/2000
1,8191;1,8199;21/08/2000
1,8161;1,8169;22/08/2000
1,8178;1,8186;23/08/2000
1,8196;1,8204;24/08/2000
1,8205;1,8213;25/08/2000
1,8269;1,8277;28/08/2000
1,8341;1,8349;29/08/2000
1,8251;1,8259;30/08/2000
1,8226;1,8234;31/08/2000
1,821;1,8218;01/09/2000
1,8247;1,8255;04/09/2000
1,8286;1,8294;05/09/2000
1,8199;1,8207;06/09/2000
1,8216;1,8224;08/09/2000
1,8191;1,8199;11/09/2000
1,8271;1,8279;12/09/2000
1,8312;1,832;13/09/2000
1,8309;1,8317;14/09/2000
1,843;1,8438;15/09/2000
1,855;1,8558;18/09/2000
1,853;1,8538;19/09/2000
1,8538;1,8546;20/09/2000
1,8509;1,8517;21/09/2000
1,8586;1,8594;22/09/2000
1,8412;1,842;25/09/2000
1,8498;1,8506;26/09/2000
1,8484;1,8492;27/09/2000
1,8471;1,8479;28/09/2000
1,8429;1,8437;29/09/2000
1,8475;1,8483;02/10/2000
1,849;1,8498;03/10/2000
1,8521;1,8529;04/10/2000
1,8493;1,8501;05/10/2000
1,8512;1,852;06/10/2000
1,8566;1,8574;09/10/2000
1,8533;1,8541;10/10/2000
1,8595;1,8603;11/10/2000
1,8756;1,8764;13/10/2000
1,8696;1,8704;16/10/2000
1,8659;1,8667;17/10/2000
1,8787;1,8795;18/10/2000
1,8706;1,8714;19/10/2000
1,8788;1,8796;20/10/2000
1,891;1,8918;23/10/2000
1,8973;1,8981;24/10/2000
1,9274;1,9282;25/10/2000
1,9332;1,934;26/10/2000
1,9232;1,924;27/10/2000
1,9176;1,9184;30/10/2000
1,9082;1,909;31/10/2000
1,9091;1,9099;01/11/2000
1,9278;1,9286;03/11/2000
1,9454;1,9462;06/11/2000
1,9565;1,9573;07/11/2000
1,9495;1,9503;08/11/2000
1,9675;1,9683;09/11/2000
1,9558;1,9566;10/11/2000
1,9571;1,9579;13/11/2000
1,9433;1,9441;14/11/2000
1,9478;1,9486;16/11/2000
1,9601;1,9609;17/11/2000
1,9357;1,9365;20/11/2000
1,9092;1,91;21/11/2000
1,9314;1,9322;22/11/2000
1,9405;1,9413;23/11/2000
1,9552;1,956;24/11/2000
1,9563;1,9571;27/11/2000
1,977;1,9778;28/11/2000
1,9602;1,961;29/11/2000
1,9588;1,9596;30/11/2000
1,9787;1,9795;01/12/2000
1,9839;1,9847;04/12/2000
1,964;1,9648;05/12/2000
1,9649;1,9657;06/12/2000
1,969;1,9698;07/12/2000
1,9687;1,9695;08/12/2000
1,964;1,9648;11/12/2000
1,9668;1,9676;12/12/2000
1,9615;1,9623;13/12/2000
1,9627;1,9635;14/12/2000
1,967;1,9678;15/12/2000
1,9531;1,9539;18/12/2000
1,9548;1,9556;19/12/2000
1,9551;1,9559;20/12/2000
1,957;1,9578;21/12/2000
1,9516;1,9524;22/12/2000
1,957;1,9578;26/12/2000
1,96;1,9608;27/12/2000
1,9546;1,9554;28/12/2000
1,9546;1,9554;29/12/2000
1,9376;1,9384;02/01/2001
1,9414;1,9422;03/01/2001
1,9349;1,9357;04/01/2001
1,9476;1,9484;05/01/2001
1,9516;1,9524;08/01/2001
1,9433;1,9441;09/01/2001
1,9421;1,9429;10/01/2001
1,9455;1,9463;11/01/2001
1,95;1,9508;12/01/2001
1,9467;1,9475;15/01/2001
1,9508;1,9516;16/01/2001
1,9493;1,9501;17/01/2001
1,9519;1,9527;18/01/2001
1,9545;1,9553;19/01/2001
1,9563;1,9571;22/01/2001
1,9578;1,9586;23/01/2001
1,9587;1,9595;24/01/2001
1,973;1,9738;25/01/2001
1,9732;1,974;26/01/2001
1,9745;1,9753;29/01/2001
1,9706;1,9714;30/01/2001
1,9703;1,9711;31/01/2001
1,9731;1,9739;01/02/2001
1,9926;1,9934;02/02/2001
1,9937;1,9945;05/02/2001
1,9972;1,998;06/02/2001
2,0037;2,0045;07/02/2001
1,9951;1,9959;08/02/2001
1,9876;1,9884;09/02/2001
1,9805;1,9813;12/02/2001
1,9795;1,9803;13/02/2001
1,9886;1,9894;14/02/2001
1,9804;1,9812;15/02/2001
1,9932;1,994;16/02/2001
2,0019;2,0027;19/02/2001
2,0055;2,0063;20/02/2001
2,0232;2,024;21/02/2001
2,036;2,0368;22/02/2001
2,0428;2,0436;23/02/2001
2,0444;2,0452;28/02/2001
2,042;2,0428;01/03/2001
2,0347;2,0355;02/03/2001
2,0224;2,0232;05/03/2001
2,02;2,0208;06/03/2001
2,0383;2,0391;07/03/2001
2,0377;2,0385;08/03/2001
